month,date,vol,vol_unadj,credit_score_group
84,2007-01,25447776940.09066,22610679958.58587,Super-prime
84,2007-01,2566262126.585207,2139431090.40404,Near-prime
84,2007-01,468097388.1982232,405278907.070707,Deep subprime
84,2007-01,8426959622.844984,7433527367.676767,Prime
84,2007-01,844549645.7389047,736938927.7777778,Subprime
85,2007-02,2436459461.921006,1961024501.515152,Near-prime
85,2007-02,28986104667.66921,25083224440.90909,Super-prime
85,2007-02,467190476.9580575,394154492.9292931,Deep subprime
85,2007-02,782290548.3942395,641358247.4747474,Subprime
85,2007-02,8324087579.407716,7269027633.333334,Prime
86,2007-03,2365735144.521876,2286670587.878788,Near-prime
86,2007-03,26068277136.78358,25202026299.49496,Super-prime
86,2007-03,471007444.4401569,469571332.8282831,Deep subprime
86,2007-03,8290564671.216548,8084664958.585855,Prime
86,2007-03,833264110.5078892,822309008.5858585,Subprime
87,2007-04,2406377393.99633,2335198938.383839,Near-prime
87,2007-04,25311880508.88628,24985670964.64646,Super-prime
87,2007-04,469060113.9560664,428783613.6363637,Deep subprime
87,2007-04,7922397207.290531,7950261859.595961,Prime
87,2007-04,820232325.7292224,766621245.9595959,Subprime
88,2007-05,23174807365.03408,23448741444.94949,Super-prime
88,2007-05,2356326743.262595,2376318119.191918,Near-prime
88,2007-05,479631891.3611107,490326885.8585858,Deep subprime
88,2007-05,7667312114.578259,7822446744.949494,Prime
88,2007-05,829809441.0965607,832050534.8484846,Subprime
89,2007-06,2254917966.514823,2344531158.585858,Near-prime
89,2007-06,22677364119.69545,22998769347.9798,Super-prime
89,2007-06,512719911.8260889,505758275.2525255,Deep subprime
89,2007-06,7491321646.836806,7732636319.696973,Prime
89,2007-06,819195096.2223672,839465989.393939,Subprime
90,2007-07,22973159355.018,24602593478.78788,Super-prime
90,2007-07,2321555684.073201,2391879864.141413,Near-prime
90,2007-07,465032307.8617105,440096316.6666668,Deep subprime
90,2007-07,7647784367.070225,8261764220.707072,Prime
90,2007-07,821750386.8076215,814944086.8686867,Subprime
91,2007-08,2224753911.753153,2455849868.181818,Near-prime
91,2007-08,23393248592.27644,24760406635.35354,Super-prime
91,2007-08,437365764.2548991,489378080.808081,Deep subprime
91,2007-08,7825724612.553254,8292068531.313128,Prime
91,2007-08,791081764.6849607,851517118.6868688,Subprime
92,2007-09,2061376403.935973,2213625743.939393,Near-prime
92,2007-09,23546768295.68066,23307370854.04041,Super-prime
92,2007-09,383633538.1982895,393923096.4646465,Deep subprime
92,2007-09,715242139.9783367,749144171.7171715,Subprime
92,2007-09,7706902633.471666,7584712024.747472,Prime
93,2007-10,2019732296.938045,2226549747.979797,Near-prime
93,2007-10,25151775256.00871,26560220420.20203,Super-prime
93,2007-10,352039829.4898996,383545355.5555556,Deep subprime
93,2007-10,684345823.1637051,744124533.3333337,Subprime
93,2007-10,7642692872.105648,8114490076.262625,Prime
94,2007-11,1962853930.397886,2137175073.737373,Near-prime
94,2007-11,23624863757.94478,25378836281.81819,Super-prime
94,2007-11,337625152.9032629,366921929.2929294,Deep subprime
94,2007-11,637044982.016381,720880726.2626258,Subprime
94,2007-11,7160038055.176864,7541721252.020203,Prime
95,2007-12,1953336538.929221,1902226588.888889,Near-prime
95,2007-12,24415264202.53983,24715795829.798,Super-prime
95,2007-12,306323405.8039346,336380348.989899,Deep subprime
95,2007-12,614894885.3495425,627704626.7676773,Subprime
95,2007-12,7197622330.515671,7008842780.303031,Prime
96,2008-01,2001465766.694707,1668061442.424242,Near-prime
96,2008-01,23926901115.68828,21352051749.49497,Super-prime
96,2008-01,318938882.5004898,276956044.9494949,Deep subprime
96,2008-01,627575198.2776045,547247460.6060605,Subprime
96,2008-01,7457270153.355684,6575111596.464645,Prime
97,2008-02,1961702261.821629,1587116811.616161,Near-prime
97,2008-02,23407674734.11238,20283648808.0808,Super-prime
97,2008-02,325754398.9706464,275270118.1818182,Deep subprime
97,2008-02,618788881.9505868,508336097.4747476,Subprime
97,2008-02,7181805473.801875,6279047733.333334,Prime
98,2008-03,1734521614.516847,1686428187.373736,Near-prime
98,2008-03,22466255684.7677,21895843242.42424,Super-prime
98,2008-03,289152773.8518099,291240961.6161617,Deep subprime
98,2008-03,554882462.4353777,552921441.4141414,Subprime
98,2008-03,6652344696.933696,6506029561.111112,Prime
99,2008-04,1669105993.776611,1619359038.383839,Near-prime
99,2008-04,22582779088.54569,22293035524.74747,Super-prime
99,2008-04,294744188.9467859,268070135.3535353,Deep subprime
99,2008-04,524595213.9470063,490523706.5656566,Subprime
99,2008-04,6168833245.669265,6197428938.383837,Prime
100,2008-05,1560402311.786226,1575276492.424242,Near-prime
100,2008-05,22023007061.77501,22269467990.40405,Super-prime
100,2008-05,271688627.431231,275463277.7777776,Deep subprime
100,2008-05,488013403.7688052,487738379.2929292,Subprime
100,2008-05,5917081147.345817,6046209271.717174,Prime
101,2008-06,1462721437.48526,1517638065.656566,Near-prime
101,2008-06,231539381.7049678,229932525.7575759,Deep subprime
101,2008-06,24072894068.71961,24244343829.29294,Super-prime
101,2008-06,466232423.1990876,478221314.6464647,Subprime
101,2008-06,5800280306.462503,5961217036.868688,Prime
102,2008-07,1388549193.220536,1423455175.757576,Near-prime
102,2008-07,212583819.7344569,201391714.1414142,Deep subprime
102,2008-07,30867855488.37933,32942794923.73739,Super-prime
102,2008-07,399060294.5978077,394611827.2727275,Subprime
102,2008-07,5465827472.600056,5878537224.747473,Prime
103,2008-08,1229243671.231125,1353553573.737374,Near-prime
103,2008-08,194798710.8538332,217048355.5555556,Deep subprime
103,2008-08,21787817713.04076,22992563868.68687,Super-prime
103,2008-08,386509095.6662335,414955845.959596,Subprime
103,2008-08,4913506879.231264,5210142906.565655,Prime
104,2008-09,1172047238.410454,1255139602.525253,Near-prime
104,2008-09,21240012930.11775,20919044489.899,Super-prime
104,2008-09,212700903.4577944,218497177.2727273,Deep subprime
104,2008-09,405957644.9638506,424222730.3030303,Subprime
104,2008-09,5055778154.109523,4973934843.939391,Prime
105,2008-10,1020885170.008398,1118908189.39394,Near-prime
105,2008-10,180895839.5806652,195407859.0909091,Deep subprime
105,2008-10,18750749174.57712,19740625970.20202,Super-prime
105,2008-10,336995555.7409603,363253059.0909091,Subprime
105,2008-10,4195458115.84441,4436990029.797981,Prime
106,2008-11,157167935.3471176,171382196.4646465,Deep subprime
106,2008-11,17047876987.12556,18382919978.28284,Super-prime
106,2008-11,266867425.902066,302677521.2121212,Subprime
106,2008-11,3692461835.753787,3902524392.424242,Prime
106,2008-11,863119293.2032883,942557318.6868691,Near-prime
107,2008-12,145416580.5638984,158935210.10101,Deep subprime
107,2008-12,15439449097.92806,15743799783.33333,Super-prime
107,2008-12,236197676.6404157,241459907.0707071,Subprime
107,2008-12,3119198109.158428,3042716197.979798,Prime
107,2008-12,699353959.5297623,682007957.5757579,Near-prime
108,2009-01,124341104.1520578,108284351.5151515,Deep subprime
108,2009-01,14472082622.98282,12988136977.27273,Super-prime
108,2009-01,192695479.074708,167741385.3535353,Subprime
108,2009-01,2894701033.249821,2558575959.595959,Prime
108,2009-01,635821550.2961583,530869750.0000002,Near-prime
109,2009-02,109129534.8836772,92732357.57575756,Deep subprime
109,2009-02,13848164609.11661,12028080145.95959,Super-prime
109,2009-02,183459999.7956961,152227064.1414141,Subprime
109,2009-02,2643159114.3508,2320665933.333333,Prime
109,2009-02,551860016.0854665,451972661.1111111,Near-prime
110,2009-03,101853174.7685935,104272997.979798,Deep subprime
110,2009-03,13426309677.85681,13252640675.25252,Super-prime
110,2009-03,159435979.1958476,161262038.8888889,Subprime
110,2009-03,2477768560.763663,2433714724.747475,Prime
110,2009-03,525085004.0148179,516524195.4545454,Near-prime
111,2009-04,13024197917.31969,12845540251.51516,Super-prime
111,2009-04,163674689.0424512,152961366.6666666,Subprime
111,2009-04,2419465051.924419,2429302291.414143,Prime
111,2009-04,474002867.1813415,458388491.4141412,Near-prime
111,2009-04,99615817.94966419,90283599.49494952,Deep subprime
112,2009-05,12722902701.23785,12862442357.57576,Super-prime
112,2009-05,149539252.7040766,149252012.1212121,Subprime
112,2009-05,2320561269.370428,2377477793.434342,Prime
112,2009-05,502655708.952606,508419911.1111109,Near-prime
112,2009-05,95298478.86252287,95828031.3131313,Deep subprime
113,2009-06,112193920.0973245,115148400,Subprime
113,2009-06,12148105638.0285,12114875313.13131,Super-prime
113,2009-06,2177552811.685335,2224578183.333333,Prime
113,2009-06,427621436.3101149,443162745.4545455,Near-prime
113,2009-06,86748266.33760484,87315207.57575756,Deep subprime
114,2009-07,11317694905.50434,11979697149.49495,Super-prime
114,2009-07,130249131.0503441,127862814.6464646,Subprime
114,2009-07,2015961731.578785,2150360956.060606,Prime
114,2009-07,385563785.7012617,390801111.1111112,Near-prime
114,2009-07,86991150.32775854,82045573.2323232,Deep subprime
115,2009-08,11184796083.51245,11715875764.64646,Super-prime
115,2009-08,124674927.7056722,133124829.7979798,Subprime
115,2009-08,1920644778.541027,2035147151.010101,Prime
115,2009-08,391356082.4046592,427212805.0505052,Near-prime
115,2009-08,95276467.54391354,105038223.2323232,Deep subprime
116,2009-09,11131652016.14116,10887462326.26262,Super-prime
116,2009-09,112069762.4288806,116443009.0909091,Subprime
116,2009-09,1906293506.966204,1870914481.313131,Prime
116,2009-09,384370120.5838162,409494495.9595959,Near-prime
116,2009-09,74978309.63933557,76853015.15151511,Deep subprime
117,2009-10,107550269.719856,114633779.7979797,Deep subprime
117,2009-10,11374425571.22757,11910869053.0303,Super-prime
117,2009-10,156562582.684184,166115843.9393939,Subprime
117,2009-10,1928168812.635851,2026000186.868687,Prime
117,2009-10,416560762.5858,452532634.8484848,Near-prime
118,2009-11,11338212232.97462,12300074937.8788,Super-prime
118,2009-11,153510864.598524,175096644.4444444,Subprime
118,2009-11,1982162690.88868,2110802993.939393,Prime
118,2009-11,415662582.2002476,457233411.6161616,Near-prime
118,2009-11,91233537.72896726,100012971.2121212,Deep subprime
119,2009-12,11067570637.23324,11390115576.26262,Super-prime
119,2009-12,158287274.4669201,162841542.9292929,Subprime
119,2009-12,2126743073.098965,2083696229.79798,Prime
119,2009-12,477908563.9431359,468346655.050505,Near-prime
119,2009-12,99766683.35099328,108989681.8181818,Deep subprime
120,2010-01,12015031288.16266,10885749736.36364,Super-prime
120,2010-01,160180766.5869005,139404292.4242424,Subprime
120,2010-01,1993877995.777233,1772629587.878788,Prime
120,2010-01,411890353.201179,346188411.111111,Near-prime
120,2010-01,97549450.18636087,84962297.97979799,Deep subprime
121,2010-02,11173782468.82224,9786187014.141411,Super-prime
121,2010-02,146251155.1932987,123002481.8181818,Subprime
121,2010-02,1763718504.632608,1554003143.434344,Prime
121,2010-02,404796328.3074992,336333707.070707,Near-prime
121,2010-02,78386262.51097222,66898413.63636365,Deep subprime
122,2010-03,11799880188.19138,11832529637.37374,Super-prime
122,2010-03,164279448.2238241,168757518.6868686,Subprime
122,2010-03,1982382540.581872,1957036545.454544,Prime
122,2010-03,437336218.5102084,436552518.1818182,Near-prime
122,2010-03,98132796.362593,102501826.7676768,Deep subprime
123,2010-04,11969107146.27242,11809142469.69696,Super-prime
123,2010-04,168639575.8752612,157360824.7474747,Subprime
123,2010-04,2076358746.653198,2084827986.868686,Prime
123,2010-04,458125991.166634,441100938.8888888,Near-prime
123,2010-04,93950475.33401357,84949039.89898987,Deep subprime
124,2010-05,11677823439.98001,11766680380.80808,Super-prime
124,2010-05,169796276.3520916,169751060.1010101,Subprime
124,2010-05,1955804540.843725,2009077322.222221,Prime
124,2010-05,426992615.5430081,432776074.7474747,Near-prime
124,2010-05,96616415.86342208,96417158.0808081,Deep subprime
125,2010-06,105436685.7440617,108218420.7070707,Deep subprime
125,2010-06,11512913206.54684,11323005738.38384,Super-prime
125,2010-06,177620814.5926729,182336657.070707,Subprime
125,2010-06,2050317629.625915,2075810637.373738,Prime
125,2010-06,455935190.9871189,471013153.5353534,Near-prime
126,2010-07,12106332860.88459,12648494661.11111,Super-prime
126,2010-07,121743511.4161877,114569708.080808,Deep subprime
126,2010-07,2130093169.009927,2250083745.454546,Prime
126,2010-07,216787315.5633657,210732058.5858584,Subprime
126,2010-07,472028529.7577534,472106911.6161619,Near-prime
127,2010-08,112000033.8970915,122247189.3939394,Deep subprime
127,2010-08,12358013148.39432,12834164216.66667,Super-prime
127,2010-08,195033792.5174125,206584266.6666666,Subprime
127,2010-08,2180206593.148932,2305113277.777778,Prime
127,2010-08,482995984.8730837,522155265.1515151,Near-prime
128,2010-09,12224438550.99722,11870535723.73737,Super-prime
128,2010-09,128553900.7924946,131140148.989899,Deep subprime
128,2010-09,211886414.9220829,218966234.3434343,Subprime
128,2010-09,2201774688.702004,2160702908.080809,Prime
128,2010-09,517636994.5081033,545957966.1616164,Near-prime
129,2010-10,12905202097.99086,13446396065.65657,Super-prime
129,2010-10,136072224.784829,142068815.1515151,Deep subprime
129,2010-10,208331485.3574805,216871705.5555555,Subprime
129,2010-10,2284548290.023964,2382104000.505051,Prime
129,2010-10,512849682.3724234,551329856.5656568,Near-prime
130,2010-11,136848687.5317767,150008013.6363636,Deep subprime
130,2010-11,13784113886.49558,15051069402.0202,Super-prime
130,2010-11,220455127.1421061,252603118.6868685,Subprime
130,2010-11,2407878932.187251,2577652690.404041,Prime
130,2010-11,549868896.9113367,609608595.4545459,Near-prime
131,2010-12,140943998.3641796,153400943.4343433,Deep subprime
131,2010-12,14260531681.3175,14823783824.24242,Super-prime
131,2010-12,225268269.9929989,234537291.4141413,Subprime
131,2010-12,2554072666.438468,2517050758.080809,Prime
131,2010-12,572214237.668932,565919079.2929295,Near-prime
132,2011-01,13690479817.59604,12606456144.94949,Super-prime
132,2011-01,147902173.2972614,128579182.3232323,Deep subprime
132,2011-01,232584315.5104112,202107977.7777777,Subprime
132,2011-01,2421044055.218058,2177697609.09091,Prime
132,2011-01,581212658.0633657,494096947.4747474,Near-prime
133,2011-02,14237196308.99568,12572064865.15151,Super-prime
133,2011-02,147380025.8157824,127249868.6868687,Deep subprime
133,2011-02,239251792.7250744,203948327.7777777,Subprime
133,2011-02,2566950099.891054,2267838965.151515,Prime
133,2011-02,622214269.4698322,524139727.2727274,Near-prime
134,2011-03,14761983346.8723,14949420913.13132,Super-prime
134,2011-03,153405801.7654859,163592485.8585858,Deep subprime
134,2011-03,259033437.3322572,270142373.2323233,Subprime
134,2011-03,2804269335.755507,2778203541.919193,Prime
134,2011-03,672880886.877448,680686051.0101013,Near-prime
135,2011-04,13767314469.1007,13619828577.77778,Super-prime
135,2011-04,145001099.7527849,130945221.7171717,Deep subprime
135,2011-04,248401962.607057,231229428.7878787,Subprime
135,2011-04,2532365004.123696,2548632361.616162,Prime
135,2011-04,597860581.8246865,574269406.0606065,Near-prime
136,2011-05,141075867.458575,140576696.4646464,Deep subprime
136,2011-05,14609629302.69004,14662914183.83839,Super-prime
136,2011-05,239312958.5256118,239374863.6363636,Subprime
136,2011-05,2832763334.186386,2904106701.0101,Prime
136,2011-05,664602115.7553639,672441795.9595959,Near-prime
137,2011-06,14663916107.22877,14208038605.05051,Super-prime
137,2011-06,149174582.7850687,156589599.9999999,Deep subprime
137,2011-06,254983073.7116434,261897610.6060606,Subprime
137,2011-06,2720221344.188925,2728776357.070706,Prime
137,2011-06,644061816.3443164,663261036.8686869,Near-prime
138,2011-07,13841557459.60827,14346099267.67677,Super-prime
138,2011-07,144674622.1052254,136881667.1717171,Deep subprime
138,2011-07,247286795.8900253,238773826.7676767,Subprime
138,2011-07,2741412009.345029,2882667022.222221,Prime
138,2011-07,655871327.1501364,652179007.5757579,Near-prime
139,2011-08,152681379.9937675,163487857.070707,Deep subprime
139,2011-08,15454679549.97157,15923839826.26263,Super-prime
139,2011-08,258804355.5185302,271984822.7272726,Subprime
139,2011-08,3032384454.341593,3195390362.121212,Prime
139,2011-08,696435861.1358638,742734576.2626263,Near-prime
140,2011-09,147783637.5681991,149765052.5252524,Deep subprime
140,2011-09,16797186699.5306,16204708332.32323,Super-prime
140,2011-09,251560245.5010125,259564336.3636363,Subprime
140,2011-09,2959437643.937901,2900779609.090909,Prime
140,2011-09,678762525.508918,709207629.2929293,Near-prime
141,2011-10,137445844.5204177,140769005.5555556,Deep subprime
141,2011-10,15679694088.41099,16200808033.83839,Super-prime
141,2011-10,253600670.6451838,259409622.2222223,Subprime
141,2011-10,2876685056.368347,2976111391.919192,Prime
141,2011-10,683044209.2960606,723563368.1818182,Near-prime
142,2011-11,154751449.6522529,168178002.020202,Deep subprime
142,2011-11,15694077123.95222,17196116752.52525,Super-prime
142,2011-11,263055331.8540012,300180238.3838382,Subprime
142,2011-11,2912081873.328757,3122705543.434343,Prime
142,2011-11,692039960.073649,771086212.6262627,Near-prime
143,2011-12,135607803.8262588,147017647.9797979,Deep subprime
143,2011-12,15818630575.59589,16605707155.55555,Super-prime
143,2011-12,257302220.525466,271908394.949495,Subprime
143,2011-12,2768078516.603334,2754794687.878788,Prime
143,2011-12,684981283.733281,686723454.0404038,Near-prime
144,2012-01,14624685114.94238,13697406787.37374,Super-prime
144,2012-01,148942914.1330646,129075895.9595959,Deep subprime
144,2012-01,271326481.026616,235874023.7373736,Subprime
144,2012-01,2902688323.234311,2640181080.303031,Prime
144,2012-01,722457040.4642454,621718768.6868689,Near-prime
145,2012-02,15495604774.6435,13785920218.68686,Super-prime
145,2012-02,168109511.2081028,146968275.2525252,Deep subprime
145,2012-02,285074205.5710022,244555123.7373736,Subprime
145,2012-02,3020582735.283541,2664243890.909091,Prime
145,2012-02,767980056.5831438,653712888.3838384,Near-prime
146,2012-03,15135452692.44401,15392887078.28283,Super-prime
146,2012-03,156022841.7934462,169569926.2626262,Deep subprime
146,2012-03,295908475.0695665,312272801.5151515,Subprime
146,2012-03,3002207088.271144,2987545994.949495,Prime
146,2012-03,750812534.3094314,766021667.1717174,Near-prime
147,2012-04,14865224909.75083,14746865442.9293,Super-prime
147,2012-04,162592030.2906432,147066154.5454545,Deep subprime
147,2012-04,2888427629.677346,2910361146.969698,Prime
147,2012-04,294279051.9754581,273293643.9393939,Subprime
147,2012-04,745126527.1546847,715562565.151515,Near-prime
148,2012-05,14803153294.17719,14777157471.21212,Super-prime
148,2012-05,166114464.1722377,165915627.7777777,Deep subprime
148,2012-05,3036603363.910866,3101534010.101009,Prime
148,2012-05,318440904.7661947,318185488.3838385,Subprime
148,2012-05,794762735.0573484,802509949.4949492,Near-prime
149,2012-06,14768781889.99794,14198418963.13131,Super-prime
149,2012-06,168825063.0424287,181186435.8585857,Deep subprime
149,2012-06,3024868410.550686,3019393719.19192,Prime
149,2012-06,309816783.8547699,320256989.3939392,Subprime
149,2012-06,798375012.9983273,821231775.2525254,Near-prime
150,2012-07,14387871605.14388,14847809509.09091,Super-prime
150,2012-07,149040254.8895844,142607026.2626262,Deep subprime
150,2012-07,2988952879.193971,3145114679.797979,Prime
150,2012-07,314157353.9079409,302907948.989899,Subprime
150,2012-07,778814797.9107958,776311148.4848486,Near-prime
151,2012-08,14568868265.20866,14934023724.74747,Super-prime
151,2012-08,154924964.3603753,163663580.3030303,Deep subprime
151,2012-08,3116328179.562706,3267095152.020204,Prime
151,2012-08,319302740.1939293,333622271.7171717,Subprime
151,2012-08,788072561.5735915,831623014.1414145,Near-prime
152,2012-09,147654658.5725892,148593662.6262625,Deep subprime
152,2012-09,14931188901.61385,14371819514.64646,Super-prime
152,2012-09,291360004.8482711,300788849.4949493,Subprime
152,2012-09,3047107831.266476,2988387191.919191,Prime
152,2012-09,739372340.4520614,763665457.5757579,Near-prime
153,2012-10,15058440368.12825,15488321816.66667,Super-prime
153,2012-10,151202520.3225723,150970419.6969697,Deep subprime
153,2012-10,278877356.6958957,281380339.8989898,Subprime
153,2012-10,3478946858.920588,3583039194.949493,Prime
153,2012-10,815786529.4697396,851827057.575758,Near-prime
154,2012-11,15006106459.92941,16405302791.41414,Super-prime
154,2012-11,160863584.0821968,172451189.3939393,Deep subprime
154,2012-11,315882918.5816298,356509961.1111114,Subprime
154,2012-11,3251781345.14758,3475134871.717171,Prime
154,2012-11,841347682.6187509,936393481.3131322,Near-prime
155,2012-12,15234899133.0064,16040325735.85859,Super-prime
155,2012-12,161688101.6222387,173692282.3232322,Deep subprime
155,2012-12,310132979.8097005,331996378.2828284,Subprime
155,2012-12,3220287364.346355,3217258615.151514,Prime
155,2012-12,818620310.9413501,831082970.7070708,Near-prime
156,2013-01,159115458.054407,136651645.4545453,Deep subprime
156,2013-01,16110381428.90967,15295858201.51517,Super-prime
156,2013-01,334122104.2674558,289031611.6161616,Subprime
156,2013-01,3408237629.465101,3134882680.30303,Prime
156,2013-01,866478005.140168,752131401.5151513,Near-prime
157,2013-02,157106153.649042,140043599.4949495,Deep subprime
157,2013-02,16031280162.98961,14315489275.75758,Super-prime
